<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2001.01.01	1.49310	1.49630	1.49280	1.49610	95	0	50
2001.01.02	1.49610	1.50390	1.48840	1.50200	9683	0	50
2001.01.03	1.50190	1.50980	1.48820	1.49030	9568	0	50
2001.01.04	1.48990	1.50420	1.48830	1.50200	10184	0	50
2001.01.05	1.50190	1.50790	1.49520	1.50410	10200	0	50
2001.01.08	1.50360	1.51060	1.49310	1.49750	9026	0	50
2001.01.09	1.49730	1.49830	1.48720	1.48930	9143	0	50
2001.01.10	1.48970	1.49470	1.48530	1.48700	9281	0	50
2001.01.11	1.48710	1.50150	1.48650	1.49750	8335	0	50
2001.01.12	1.49760	1.50330	1.47550	1.47730	9250	0	50
2001.01.15	1.47840	1.48080	1.47090	1.47700	8632	0	50
2001.01.16	1.47710	1.47930	1.46640	1.47250	9571	0	50
2001.01.17	1.47270	1.47620	1.46870	1.47370	9282	0	50
2001.01.18	1.47370	1.47750	1.46870	1.47220	10135	0	50
2001.01.19	1.47250	1.47690	1.46260	1.46290	9293	0	50
2001.01.22	1.46370	1.46720	1.45120	1.46600	9684	0	50
2001.01.23	1.46520	1.47440	1.46420	1.46710	10383	0	50
2001.01.24	1.46700	1.46880	1.45240	1.45550	10122	0	50
2001.01.25	1.45520	1.46340	1.44630	1.45970	10185	0	50
2001.01.26	1.46000	1.46920	1.45550	1.46150	9094	0	50
2001.01.29	1.46120	1.46470	1.45540	1.45840	8867	0	50
2001.01.30	1.45880	1.46390	1.45530	1.46220	8924	0	50
2001.01.31	1.46240	1.46490	1.45750	1.46430	9109	0	50
2001.02.01	1.46450	1.48290	1.46310	1.47760	9380	0	50
2001.02.02	1.47820	1.48380	1.46440	1.46890	9312	0	50
2001.02.05	1.46900	1.47850	1.46820	1.47450	9703	0	50
2001.02.06	1.47410	1.47490	1.45700	1.45970	9288	0	50
2001.02.07	1.45990	1.46460	1.44990	1.45330	9252	0	50
2001.02.08	1.45320	1.45510	1.44180	1.44500	8968	0	50
2001.02.09	1.44490	1.45030	1.43720	1.44460	9297	0	50
2001.02.12	1.44550	1.45550	1.44430	1.45330	8675	0	50
2001.02.13	1.45370	1.45800	1.44780	1.45180	9277	0	50
2001.02.14	1.45180	1.46140	1.45090	1.45470	9516	0	50
2001.02.15	1.45530	1.46090	1.44470	1.44870	7960	0	50
2001.02.16	1.44910	1.45780	1.44400	1.44870	9249	0	50
2001.02.19	1.44740	1.45500	1.44260	1.44750	8565	0	50
2001.02.20	1.44720	1.44830	1.43100	1.44630	9005	0	50
2001.02.21	1.44620	1.44800	1.43740	1.44310	9649	0	50
2001.02.22	1.44310	1.45200	1.43910	1.44500	9002	0	50
2001.02.23	1.44490	1.45580	1.44200	1.45510	8652	0	50
2001.02.26	1.45350	1.45710	1.44040	1.44390	9169	0	50
2001.02.27	1.44370	1.44780	1.43880	1.44400	8781	0	50
2001.02.28	1.44410	1.45040	1.43950	1.44550	9450	0	50
2001.03.01	1.44550	1.45800	1.44430	1.45520	9398	0	50
2001.03.02	1.45550	1.47630	1.45380	1.46780	9670	0	50
2001.03.05	1.46960	1.47310	1.46580	1.46710	8091	0	50
2001.03.06	1.46660	1.46890	1.46330	1.46790	8680	0	50
2001.03.07	1.46810	1.47300	1.45740	1.46120	9737	0	50
2001.03.08	1.46130	1.47080	1.45910	1.46860	9631	0	50
2001.03.09	1.46890	1.47520	1.46130	1.46940	8625	0	50
2001.03.12	1.46720	1.46990	1.46180	1.46420	10141	0	50
2001.03.13	1.46510	1.46540	1.44740	1.44950	9853	0	50
2001.03.14	1.44920	1.45790	1.44360	1.44510	10382	0	50
2001.03.15	1.44520	1.45000	1.43400	1.43500	11403	0	50
2001.03.16	1.43560	1.43860	1.42510	1.43260	10891	0	50
2001.03.19	1.43110	1.43420	1.42130	1.42510	10342	0	50
2001.03.20	1.42510	1.43910	1.42370	1.43860	9092	0	50
2001.03.21	1.43830	1.43950	1.42530	1.42960	9574	0	50
2001.03.22	1.42940	1.43110	1.41790	1.42080	8968	0	50
2001.03.23	1.42100	1.43150	1.41970	1.42510	8552	0	50
2001.03.26	1.42760	1.43550	1.42500	1.43500	10141	0	50
2001.03.27	1.43500	1.43880	1.42760	1.43360	8931	0	50
2001.03.28	1.43360	1.43870	1.42740	1.43790	9477	0	50
2001.03.29	1.43790	1.44270	1.42580	1.42620	9749	0	50
2001.03.30	1.42640	1.42980	1.41510	1.41630	10342	0	50
2001.04.02	1.41440	1.42400	1.41380	1.41840	9452	0	50
2001.04.03	1.41830	1.43410	1.41820	1.43300	9064	0	50
2001.04.04	1.43270	1.43680	1.42940	1.43270	9282	0	50
2001.04.05	1.43260	1.44010	1.42400	1.42750	9450	0	50
2001.04.06	1.42770	1.44130	1.42530	1.43980	8470	0	50
2001.04.09	1.44080	1.45020	1.43770	1.44330	8632	0	50
2001.04.10	1.44370	1.44660	1.42990	1.43360	8820	0	50
2001.04.11	1.43370	1.43860	1.42700	1.43670	8462	0	50
2001.04.12	1.43630	1.44160	1.43200	1.43940	8434	0	50
2001.04.13	1.43910	1.43990	1.43470	1.43720	3734	0	50
2001.04.16	1.43700	1.43800	1.43200	1.43700	3895	0	50
2001.04.17	1.43600	1.44290	1.42660	1.43210	8455	0	50
2001.04.18	1.43210	1.43360	1.41850	1.42830	9302	0	50
2001.04.19	1.42800	1.44730	1.42530	1.44640	9193	0	50
2001.04.20	1.44650	1.44880	1.43700	1.44120	8862	0	50
2001.04.23	1.44210	1.44780	1.43620	1.43790	9132	0	50
2001.04.24	1.43750	1.44370	1.43320	1.43450	8845	0	50
2001.04.25	1.43420	1.44190	1.43090	1.44130	9159	0	50
2001.04.26	1.44130	1.44320	1.43570	1.44180	9245	0	50
2001.04.27	1.44180	1.44410	1.43250	1.43860	8633	0	50
2001.04.30	1.43500	1.43760	1.42850	1.43330	6990	0	50
2001.05.01	1.43340	1.43650	1.42640	1.43500	6425	0	50
2001.05.02	1.43470	1.43800	1.42910	1.43350	7981	0	50
2001.05.03	1.43350	1.43800	1.42980	1.43570	8775	0	50
2001.05.04	1.43560	1.44530	1.43220	1.43930	7680	0	50
2001.05.07	1.43760	1.44170	1.43480	1.43850	7206	0	50
2001.05.08	1.43800	1.43920	1.42410	1.42500	8187	0	50
2001.05.09	1.42530	1.42920	1.41760	1.42270	8754	0	50
2001.05.10	1.42290	1.42900	1.41810	1.42260	8695	0	50
2001.05.11	1.42250	1.42380	1.41310	1.41900	8372	0	50
2001.05.14	1.41940	1.42070	1.41540	1.41860	7526	0	50
2001.05.15	1.41890	1.42560	1.41640	1.42400	8061	0	50
2001.05.16	1.42450	1.43180	1.42050	1.43070	9074	0	50
2001.05.17	1.43070	1.43330	1.42660	1.43200	8217	0	50
2001.05.18	1.43240	1.44060	1.42640	1.43950	8253	0	50
2001.05.21	1.43930	1.44200	1.43500	1.43960	8470	0	50
2001.05.22	1.43950	1.44100	1.42360	1.42770	9113	0	50
2001.05.23	1.42750	1.42960	1.41710	1.41950	9854	0	50
2001.05.24	1.41970	1.41970	1.40700	1.40820	9771	0	50
2001.05.25	1.40780	1.42400	1.40750	1.42250	8422	0	50
2001.05.28	1.42230	1.42330	1.41820	1.42030	5728	0	50
2001.05.29	1.42030	1.42390	1.41500	1.42320	8865	0	50
2001.05.30	1.42340	1.42760	1.41920	1.42600	8977	0	50
